Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name, Sales ,Sales category,Quantity,Discount, Profit ,Profit Status
2373,CA-2016-159940,05-02-2023,08-05-2023,Second Class,BF-11020,Barry Französisch,Corporate,United States,Aurora,Illinois,60505,Central,OFF-FA-10000936,Office Supplies,Fasteners,Acco Hot Clips Clips To Go,2.63,Low,1,0.2,0.82,Profit
2374,CA-2016-159940,06-02-2023,09-05-2023,Second Class,BF-11020,Barry Französisch,Corporate,United States,Aurora,Illinois,60505,Central,OFF-PA-10001609,Office Supplies,Paper,Tops Wirebound Message Log Books,23.69,Low,9,0.2,7.7,Profit
2375,CA-2016-159940,07-02-2023,10-05-2023,Second Class,BF-11020,Barry Französisch,Corporate,United States,Aurora,Illinois,60505,Central,FUR-CH-10000785,Furniture,Chairs,Global Ergonomic Managers Chair,253.37,Medium,2,0.3,-14.48,Loss
2376,CA-2017-119669,08-02-2023,11-05-2023,Standard Class,TP-21130,Theone Pippenger,Consumer,United States,Smyrna,Georgia,30080,South,OFF-FA-10000053,Office Supplies,Fasteners,Revere Boxed Rubber Bands By Revere,5.67,Low,3,0,0.11,Profit
2377,US-2014-164616,09-02-2023,12-05-2023,Second Class,MS-17770,Maxwell Schwartz,Consumer,United States,Columbus,Ohio,43229,East,OFF-BI-10001718,Office Supplies,Binders,Gbc Docubind P50 Personal Binding Machine,76.78,Low,4,0.7,-58.86,Loss
2378,US-2014-164616,10-02-2023,13-05-2023,Second Class,MS-17770,Maxwell Schwartz,Consumer,United States,Columbus,Ohio,43229,East,OFF-SU-10004768,Office Supplies,Supplies,Acme Kleencut Forged Steel Scissors,9.18,Low,2,0.2,1.15,Profit
2379,CA-2015-148628,11-02-2023,14-05-2023,Standard Class,KM-16375,Katherine Murray,Home Office,United States,Thousand Oaks,California,91360,West,OFF-PA-10003883,Office Supplies,Paper,"Message Book, Phone, Wirebound Standard Line Memo, 2 3/4"" X 5""",32.75,Low,5,0,15.07,Profit
2380,CA-2016-118052,12-02-2023,15-05-2023,Standard Class,BE-11455,Brad Eason,Home Office,United States,Lorain,Ohio,44052,East,OFF-FA-10004248,Office Supplies,Fasteners,Advantus T-Pin Paper Clips,7.22,Low,2,0.2,1.71,Profit
2381,CA-2016-118052,13-02-2023,16-05-2023,Standard Class,BE-11455,Brad Eason,Home Office,United States,Lorain,Ohio,44052,East,OFF-PA-10002581,Office Supplies,Paper,Xerox 1951,49.57,Low,2,0.2,15.49,Profit
2382,CA-2016-118052,14-02-2023,17-05-2023,Standard Class,BE-11455,Brad Eason,Home Office,United States,Lorain,Ohio,44052,East,FUR-FU-10004848,Furniture,Furnishings,Dax Solid Wood Frames,54.71,Low,7,0.2,11.63,Profit
2383,US-2017-117534,15-02-2023,18-05-2023,First Class,CV-12295,Christina Vanderzanden,Consumer,United States,Fresno,California,93727,West,OFF-AP-10002403,Office Supplies,Appliances,Acco Smartsocket Color-Coded Six-Outlet Ac Adapter Model Surge Protectors,176.04,Medium,4,0,45.77,Profit
2384,US-2017-117534,16-02-2023,19-05-2023,First Class,CV-12295,Christina Vanderzanden,Consumer,United States,Fresno,California,93727,West,OFF-AR-10003087,Office Supplies,Art,Staples In Misc. Colors,16.02,Low,9,0,4.49,Profit
2385,US-2017-117534,17-02-2023,20-05-2023,First Class,CV-12295,Christina Vanderzanden,Consumer,United States,Fresno,California,93727,West,OFF-BI-10002026,Office Supplies,Binders,Avery Arch Ring Binders,185.92,Medium,4,0.2,62.75,Profit
2386,US-2017-117534,18-02-2023,21-05-2023,First Class,CV-12295,Christina Vanderzanden,Consumer,United States,Fresno,California,93727,West,TEC-PH-10000141,Technology,Phones,Clearsounds A400,211.17,Medium,4,0.2,15.84,Profit
2387,US-2017-117534,19-02-2023,22-05-2023,First Class,CV-12295,Christina Vanderzanden,Consumer,United States,Fresno,California,93727,West,TEC-CO-10000971,Technology,Copiers,Hewlett Packard 310 Color Digital Copier,479.98,Medium,2,0.2,60,Profit
2388,CA-2015-145065,20-02-2023,23-05-2023,First Class,DK-13375,Dennis Kane,Consumer,United States,San Diego,California,92105,West,OFF-FA-10001229,Office Supplies,Fasteners,Staples,7.86,Low,2,0,3.62,Profit
2389,CA-2015-145065,21-02-2023,24-05-2023,First Class,DK-13375,Dennis Kane,Consumer,United States,San Diego,California,92105,West,OFF-BI-10002437,Office Supplies,Binders,Recycled Premium Regency Composition Covers,24.45,Low,2,0.2,8.86,Profit
2390,US-2015-127040,22-02-2023,25-05-2023,Standard Class,SG-20605,Speros Goranitis,Consumer,United States,New York City,New York,10009,East,OFF-PA-10004255,Office Supplies,Paper,Xerox 219,6.48,Low,1,0,3.11,Profit
2391,US-2015-127040,23-02-2023,26-05-2023,Standard Class,SG-20605,Speros Goranitis,Consumer,United States,New York City,New York,10009,East,OFF-PA-10001184,Office Supplies,Paper,Xerox 1903,41.86,Low,7,0,20.51,Profit
2392,US-2015-127040,24-02-2023,27-05-2023,Standard Class,SG-20605,Speros Goranitis,Consumer,United States,New York City,New York,10009,East,TEC-AC-10002637,Technology,Accessories,Logitech Vx Revolution Cordless Laser Mouse For Notebooks (Black),"1,619.91",Very High,9,0,97.19,Profit
2393,US-2015-127040,25-02-2023,28-05-2023,Standard Class,SG-20605,Speros Goranitis,Consumer,United States,New York City,New York,10009,East,FUR-FU-10002878,Furniture,Furnishings,"Seth Thomas 14"" Day/Date Wall Clock",113.92,Medium,4,0,42.15,Profit
2394,CA-2016-128111,26-02-2023,29-05-2023,Standard Class,CS-12355,Christine Sundaresam,Consumer,United States,Malden,Massachusetts,2148,East,OFF-AR-10000588,Office Supplies,Art,Newell 345,39.68,Low,2,0,10.32,Profit
2395,CA-2015-137897,27-02-2023,30-05-2023,Standard Class,PJ-18835,Patrick Jones,Corporate,United States,New York City,New York,10035,East,TEC-AC-10002217,Technology,Accessories,Imation Clip Usb Flash Drive - 8 Gb,37.6,Low,2,0,2.26,Profit
2396,CA-2015-137897,28-02-2023,31-05-2023,Standard Class,PJ-18835,Patrick Jones,Corporate,United States,New York City,New York,10035,East,TEC-AC-10001267,Technology,Accessories,Imation 32Gb Pocket Pro Usb 3.0 Flash Drive - 32 Gb - Black - 1 P ...,59.9,Low,2,0,23.96,Profit
2397,CA-2015-137897,01-03-2023,01-06-2023,Standard Class,PJ-18835,Patrick Jones,Corporate,United States,New York City,New York,10035,East,OFF-PA-10004041,Office Supplies,Paper,"It'S Hot Message Books With Stickers, 2 3/4"" X 5""",37,Low,5,0,16.65,Profit
2398,CA-2017-169264,02-03-2023,02-06-2023,Second Class,NP-18700,Nora Preis,Consumer,United States,San Francisco,California,94109,West,OFF-LA-10001613,Office Supplies,Labels,Avery File Folder Labels,5.76,Low,2,0,2.82,Profit
2399,CA-2017-169264,03-03-2023,03-06-2023,Second Class,NP-18700,Nora Preis,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10000246,Office Supplies,Art,Newell 318,16.68,Low,6,0,4.34,Profit
2400,CA-2017-147361,04-03-2023,04-06-2023,Standard Class,SB-20290,Sean Braxton,Corporate,United States,Florence,South Carolina,29501,South,OFF-ST-10001809,Office Supplies,Storage,Fellowes Officeware Wire Shelving,628.81,High,7,0,12.58,Profit
2401,CA-2017-147361,05-03-2023,05-06-2023,Standard Class,SB-20290,Sean Braxton,Corporate,United States,Florence,South Carolina,29501,South,OFF-ST-10002214,Office Supplies,Storage,X-Rack File For Hanging Folders,56.45,Low,5,0,14.68,Profit
2402,CA-2017-145877,06-03-2023,06-06-2023,Second Class,AS-10090,Adam Shillingsburg,Consumer,United States,Springfield,Missouri,65807,Central,OFF-ST-10000649,Office Supplies,Storage,Hanging Personal Folder File,94.2,Low,6,0,23.55,Profit
2403,CA-2017-145877,07-03-2023,07-06-2023,Second Class,AS-10090,Adam Shillingsburg,Consumer,United States,Springfield,Missouri,65807,Central,OFF-EN-10001990,Office Supplies,Envelopes,Staple Envelope,28.4,Low,5,0,13.35,Profit
2404,US-2016-110170,08-03-2023,08-06-2023,Standard Class,HM-14860,Harry Marie,Corporate,United States,Huntsville,Texas,77340,Central,FUR-BO-10000780,Furniture,Bookcases,O'Sullivan Plantations 2-Door Library In Landvery Oak,956.66,High,7,0.32,-225.1,Loss
2405,CA-2017-108574,09-03-2023,09-06-2023,Standard Class,MG-18145,Mike Gockenbach,Consumer,United States,Los Angeles,California,90045,West,TEC-AC-10002049,Technology,Accessories,Logitech G19 Programmable Gaming Keyboard,"1,115.91",Very High,9,0,200.86,Profit
2406,CA-2017-108574,10-03-2023,10-06-2023,Standard Class,MG-18145,Mike Gockenbach,Consumer,United States,Los Angeles,California,90045,West,TEC-PH-10003555,Technology,Phones,Motorola Hk250 Universal Bluetooth Headset,128.74,Medium,7,0.2,-28.97,Loss
2407,CA-2017-108574,11-03-2023,11-06-2023,Standard Class,MG-18145,Mike Gockenbach,Consumer,United States,Los Angeles,California,90045,West,TEC-PH-10000702,Technology,Phones,"Square Credit Card Reader, 4 1/2"" X 4 1/2"" X 1"", White",79.92,Low,10,0.2,26.97,Profit
2408,CA-2017-144589,12-03-2023,12-06-2023,Standard Class,TM-21010,Tamara Manning,Consumer,United States,San Francisco,California,94122,West,OFF-AR-10003631,Office Supplies,Art,Staples In Misc. Colors,24.2,Low,5,0,7.99,Profit
2409,CA-2017-144589,13-03-2023,13-06-2023,Standard Class,TM-21010,Tamara Manning,Consumer,United States,San Francisco,California,94122,West,TEC-PH-10003072,Technology,Phones,Panasonic Kx-Tg9541B Dect 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,359.98,Medium,3,0.2,130.49,Profit
2410,CA-2017-155985,14-03-2023,14-06-2023,First Class,BE-11335,Bill Eplett,Home Office,United States,San Francisco,California,94122,West,FUR-FU-10000758,Furniture,Furnishings,Dax Natural Wood-Tone Poster Frame,211.84,Medium,8,0,76.26,Profit
2411,CA-2014-162684,15-03-2023,15-06-2023,Standard Class,AS-10630,Ann Steele,Home Office,United States,Philadelphia,Pennsylvania,19120,East,OFF-FA-10000992,Office Supplies,Fasteners,"Acco Clips To Go Binder Clips, 24 Clips In Two Sizes",5.68,Low,2,0.2,1.92,Profit
2412,CA-2015-142041,16-03-2023,16-06-2023,Second Class,EM-13810,Eleni Mccrary,Corporate,United States,Los Angeles,California,90036,West,OFF-BI-10004187,Office Supplies,Binders,3-Ring Staple Pack,7.52,Low,5,0.2,2.63,Profit
2413,CA-2014-151295,17-03-2023,17-06-2023,Standard Class,JA-15970,Joseph Airdo,Consumer,United States,Los Angeles,California,90045,West,OFF-PA-10001947,Office Supplies,Paper,Xerox 1974,11.96,Low,2,0,5.86,Profit
2414,CA-2014-151295,18-03-2023,18-06-2023,Standard Class,JA-15970,Joseph Airdo,Consumer,United States,Los Angeles,California,90045,West,FUR-TA-10002356,Furniture,Tables,Bevis Boat-Shaped Conference Table,629.06,High,3,0.2,31.45,Profit
2415,CA-2016-156300,19-03-2023,19-06-2023,Standard Class,TB-21595,Troy Blackwell,Consumer,United States,Milwaukee,Wisconsin,53209,Central,FUR-CH-10001714,Furniture,Chairs,"Global Leather & Oak Executive Chair, Burgundy",754.45,High,5,0,60.36,Profit
2416,CA-2015-146087,20-03-2023,20-06-2023,Standard Class,PP-18955,Paul Prost,Home Office,United States,Holyoke,Massachusetts,1040,East,FUR-BO-10002824,Furniture,Bookcases,Bush Mission Pointe Library,301.96,Medium,2,0,60.39,Profit
2417,CA-2017-168655,21-03-2023,21-06-2023,Standard Class,ML-18040,Michelle Lonsdale,Corporate,United States,Albuquerque,New Mexico,87105,West,TEC-AC-10002842,Technology,Accessories,Wd My Passport Ultra 2Tb Portable External Hard Drive,595,High,5,0,95.2,Profit
2418,CA-2017-168655,22-03-2023,22-06-2023,Standard Class,ML-18040,Michelle Lonsdale,Corporate,United States,Albuquerque,New Mexico,87105,West,OFF-BI-10002082,Office Supplies,Binders,Gbc Twin Loop Wire Binding Elements,79.87,Low,3,0.2,29.95,Profit
2419,CA-2016-107202,23-03-2023,23-06-2023,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Sparks,Nevada,89431,West,TEC-MA-10000112,Technology,Machines,Panasonic Kx Mb2061 Multifunction Printer,"2,396.40",Very High,10,0.2,179.73,Profit
2420,CA-2017-159597,24-03-2023,24-06-2023,Standard Class,MC-17590,Matt Collister,Corporate,United States,Coachella,California,92236,West,OFF-ST-10002289,Office Supplies,Storage,"Safco Wire Cube Shelving System, For Use As 4 Or 5 14"" Cubes, Black",63.56,Low,2,0,3.18,Profit
2421,CA-2017-159597,25-03-2023,25-06-2023,Standard Class,MC-17590,Matt Collister,Corporate,United States,Coachella,California,92236,West,TEC-AC-10004171,Technology,Accessories,Razer Kraken 7.1 Surround Sound Over Ear Usb Gaming Headset,99.99,Low,1,0,44,Profit
2422,CA-2016-155551,26-03-2023,26-06-2023,Standard Class,CR-12580,Clay Rozendal,Home Office,United States,Elmhurst,Illinois,60126,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.38,Medium,3,0.2,-48.95,Loss
2423,CA-2016-155551,27-03-2023,27-06-2023,Standard Class,CR-12580,Clay Rozendal,Home Office,United States,Elmhurst,Illinois,60126,Central,OFF-PA-10001560,Office Supplies,Paper,"Adams Telephone Message Books, 5 1/4” X 11”",9.66,Low,2,0.2,3.26,Profit
2424,US-2017-147669,28-03-2023,28-06-2023,Standard Class,SV-20935,Susan Vittorini,Consumer,United States,Fairfield,Ohio,45014,East,TEC-AC-10002473,Technology,Accessories,Maxell 4.7Gb Dvd-R,158.93,Medium,7,0.2,41.72,Profit
2425,US-2017-147669,29-03-2023,29-06-2023,Standard Class,SV-20935,Susan Vittorini,Consumer,United States,Fairfield,Ohio,45014,East,OFF-BI-10000632,Office Supplies,Binders,Satellite Sectional Post Binders,13.02,Low,1,0.7,-10.42,Loss
2426,US-2017-147669,30-03-2023,30-06-2023,Standard Class,SV-20935,Susan Vittorini,Consumer,United States,Fairfield,Ohio,45014,East,FUR-TA-10002645,Furniture,Tables,Hon Rectangular Conference Tables,273.06,Medium,2,0.4,-104.67,Loss
2427,US-2017-147669,31-03-2023,01-07-2023,Standard Class,SV-20935,Susan Vittorini,Consumer,United States,Fairfield,Ohio,45014,East,OFF-FA-10002975,Office Supplies,Fasteners,Staples,39.31,Low,13,0.2,12.78,Profit
2428,CA-2016-169922,01-04-2023,02-07-2023,Standard Class,MZ-17515,Mary Zewe,Corporate,United States,Arlington,Texas,76017,Central,OFF-BI-10003784,Office Supplies,Binders,Computer Printout Index Tabs,1.34,Low,4,0.8,-2.15,Loss
2429,CA-2016-169922,02-04-2023,03-07-2023,Standard Class,MZ-17515,Mary Zewe,Corporate,United States,Arlington,Texas,76017,Central,OFF-BI-10001617,Office Supplies,Binders,Gbc Wire Binding Combs,8.27,Low,4,0.8,-13.65,Loss
2430,CA-2016-169922,03-04-2023,04-07-2023,Standard Class,MZ-17515,Mary Zewe,Corporate,United States,Arlington,Texas,76017,Central,FUR-FU-10004415,Furniture,Furnishings,"Stacking Tray, Side-Loading, Legal, Smoke",12.54,Low,7,0.6,-9.09,Loss
2431,CA-2017-100748,04-04-2023,05-07-2023,Standard Class,RB-19795,Ross Baird,Home Office,United States,San Francisco,California,94110,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels For Typewriters By Universal,58.48,Low,8,0,27.49,Profit
2432,CA-2017-129805,05-04-2023,06-07-2023,Standard Class,HM-14860,Harry Marie,Corporate,United States,Seattle,Washington,98103,West,FUR-FU-10001935,Furniture,Furnishings,3M Hangers With Command Adhesive,7.4,Low,2,0,3.03,Profit
2433,CA-2014-148586,06-04-2023,07-07-2023,Standard Class,AZ-10750,Annie Zypern,Consumer,United States,New York City,New York,10009,East,FUR-CH-10002439,Furniture,Chairs,"Iceberg Nesting Folding Chair, 19W X 6D X 43H",366.79,Medium,7,0.1,65.21,Profit
2434,US-2017-112613,07-04-2023,08-07-2023,Standard Class,JH-15910,Jonathan Howell,Consumer,United States,Houston,Texas,77070,Central,TEC-PH-10001536,Technology,Phones,Spigen Samsung Galaxy S5 Case Wallet,54.37,Low,4,0.2,4.08,Profit
2435,CA-2015-154746,08-04-2023,09-07-2023,First Class,PJ-18835,Patrick Jones,Corporate,United States,Springfield,Virginia,22153,South,OFF-EN-10001532,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,33.96,Low,2,0,16.98,Profit
2436,CA-2015-154746,09-04-2023,10-07-2023,First Class,PJ-18835,Patrick Jones,Corporate,United States,Springfield,Virginia,22153,South,OFF-AP-10003057,Office Supplies,Appliances,Honeywell Enviracaire Portable Hepa Air Cleaner For 16' X 20' Room,826.11,High,3,0,322.18,Profit
2437,CA-2017-140053,10-04-2023,11-07-2023,Standard Class,CA-12265,Christina Anderson,Consumer,United States,Farmington,New Mexico,87401,West,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats For Medium Pile Carpet, Standard Lip, 36"" X 48""",545.85,High,9,0,114.63,Profit
2438,CA-2014-164210,11-04-2023,12-07-2023,Second Class,PW-19240,Pierre Wener,Consumer,United States,Louisville,Colorado,80027,West,FUR-TA-10000849,Furniture,Tables,Bevis Rectangular Conference Tables,145.98,Medium,2,0.5,-99.27,Loss
2439,CA-2014-164210,12-04-2023,13-07-2023,Second Class,PW-19240,Pierre Wener,Consumer,United States,Louisville,Colorado,80027,West,OFF-PA-10002259,Office Supplies,Paper,"Geographics Note Cards, Blank, White, 8 1/2"" X 11""",35.81,Low,4,0.2,12.53,Profit
2440,CA-2017-139948,13-04-2023,14-07-2023,Standard Class,SW-20455,Shaun Weien,Consumer,United States,Tampa,Florida,33614,South,FUR-FU-10002597,Furniture,Furnishings,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",7.9,Low,2,0.2,2.17,Profit
2441,CA-2016-146934,14-04-2023,15-07-2023,Standard Class,AF-10870,Art Ferguson,Consumer,United States,Passaic,New Jersey,7055,East,TEC-PH-10004614,Technology,Phones,At&T 841000 Phone,345,Medium,5,0,86.25,Profit
2442,CA-2016-146934,15-04-2023,16-07-2023,Standard Class,AF-10870,Art Ferguson,Consumer,United States,Passaic,New Jersey,7055,East,FUR-TA-10003748,Furniture,Tables,Bevis 36 X 72 Conference Tables,174.29,Medium,2,0.3,-19.92,Loss
2443,CA-2016-146934,16-04-2023,17-07-2023,Standard Class,AF-10870,Art Ferguson,Consumer,United States,Passaic,New Jersey,7055,East,OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire Commercial Upright,662.84,High,4,0,172.34,Profit
2444,CA-2016-146934,17-04-2023,18-07-2023,Standard Class,AF-10870,Art Ferguson,Consumer,United States,Passaic,New Jersey,7055,East,TEC-AC-10002399,Technology,Accessories,Sandisk Cruzer 32 Gb Usb Flash Drive,95.1,Low,5,0,30.43,Profit
2445,CA-2016-146934,18-04-2023,19-07-2023,Standard Class,AF-10870,Art Ferguson,Consumer,United States,Passaic,New Jersey,7055,East,OFF-EN-10002973,Office Supplies,Envelopes,Ampad #10 Peel & Seel Holiday Envelopes,26.88,Low,6,0,12.9,Profit
2446,CA-2016-146934,19-04-2023,20-07-2023,Standard Class,AF-10870,Art Ferguson,Consumer,United States,Passaic,New Jersey,7055,East,TEC-PH-10001336,Technology,Phones,Digium D40 Voip Phone,257.98,Medium,2,0,74.81,Profit
2447,CA-2015-100573,20-04-2023,21-07-2023,Standard Class,AM-10705,Anne Mcfarland,Consumer,United States,Los Angeles,California,90004,West,OFF-EN-10000461,Office Supplies,Envelopes,"#10- 4 1/8"" X 9 1/2"" Recycled Envelopes",17.48,Low,2,0,8.22,Profit
2448,CA-2016-119165,21-04-2023,22-07-2023,Standard Class,BD-11320,Bill Donatelli,Consumer,United States,Philadelphia,Pennsylvania,19143,East,FUR-CH-10000988,Furniture,Chairs,Hon Olson Stacker Stools,492.84,Medium,5,0.3,-14.08,Loss
2449,CA-2015-128027,22-04-2023,23-07-2023,Second Class,CM-12385,Christopher Martinez,Consumer,United States,North Charleston,South Carolina,29406,South,OFF-ST-10001809,Office Supplies,Storage,Fellowes Officeware Wire Shelving,269.49,Medium,3,0,5.39,Profit
2450,CA-2016-140207,23-04-2023,24-07-2023,Standard Class,CS-12400,Christopher Schild,Home Office,United States,San Jose,California,95123,West,OFF-BI-10003963,Office Supplies,Binders,Cardinal Holdit Data Disk Pockets,29.12,Low,5,0.2,9.83,Profit
2451,CA-2017-140949,24-04-2023,25-07-2023,Second Class,DB-13405,Denny Blanton,Consumer,United States,New York City,New York,10011,East,OFF-LA-10000081,Office Supplies,Labels,Avery 496,18.75,Low,5,0,9,Profit
2452,CA-2017-140949,25-04-2023,26-07-2023,Second Class,DB-13405,Denny Blanton,Consumer,United States,New York City,New York,10011,East,TEC-PH-10000149,Technology,Phones,Cisco Spa525G2 Ip Phone - Wireless,119.7,Medium,6,0,31.12,Profit
2453,CA-2017-140949,26-04-2023,27-07-2023,Second Class,DB-13405,Denny Blanton,Consumer,United States,New York City,New York,10011,East,OFF-BI-10000605,Office Supplies,Binders,"Acco Pressboard Covers With Storage Hooks, 9 1/2"" X 11"", Executive Red",9.14,Low,3,0.2,3.09,Profit
2454,CA-2017-140949,27-04-2023,28-07-2023,Second Class,DB-13405,Denny Blanton,Consumer,United States,New York City,New York,10011,East,TEC-AC-10002399,Technology,Accessories,Sandisk Cruzer 32 Gb Usb Flash Drive,57.06,Low,3,0,18.26,Profit
2455,CA-2017-140949,28-04-2023,29-07-2023,Second Class,DB-13405,Denny Blanton,Consumer,United States,New York City,New York,10011,East,TEC-AC-10003038,Technology,Accessories,Kingston Digital Datatraveler 16Gb Usb 2.0,71.6,Low,8,0,13.6,Profit
2456,CA-2017-140949,29-04-2023,30-07-2023,Second Class,DB-13405,Denny Blanton,Consumer,United States,New York City,New York,10011,East,OFF-ST-10000344,Office Supplies,Storage,"Neat Ideas Personal Hanging Folder Files, Black",107.44,Medium,8,0,27.93,Profit
2457,CA-2017-140949,30-04-2023,31-07-2023,Second Class,DB-13405,Denny Blanton,Consumer,United States,New York City,New York,10011,East,OFF-LA-10004093,Office Supplies,Labels,Avery 486,7.31,Low,1,0,3.44,Profit
2458,CA-2017-140949,01-05-2023,01-08-2023,Second Class,DB-13405,Denny Blanton,Consumer,United States,New York City,New York,10011,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,59.1,Low,6,0,22.46,Profit
2459,CA-2017-140949,02-05-2023,02-08-2023,Second Class,DB-13405,Denny Blanton,Consumer,United States,New York City,New York,10011,East,OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote With Lid, Black",46.53,Low,3,0,12.1,Profit
2460,CA-2017-138548,03-05-2023,03-08-2023,Standard Class,JG-15160,James Galang,Consumer,United States,Plainfield,New Jersey,7060,East,OFF-AP-10002578,Office Supplies,Appliances,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone And Remote",97.84,Low,2,0,25.44,Profit
2461,CA-2015-142419,04-05-2023,04-08-2023,Second Class,SC-20380,Shahid Collister,Consumer,United States,Seattle,Washington,98115,West,OFF-PA-10001763,Office Supplies,Paper,Xerox 1896,29.97,Low,3,0,13.49,Profit
2462,CA-2015-142419,05-05-2023,05-08-2023,Second Class,SC-20380,Shahid Collister,Consumer,United States,Seattle,Washington,98115,West,OFF-BI-10001597,Office Supplies,Binders,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",98.35,Low,3,0.2,34.42,Profit
2463,CA-2017-148691,06-05-2023,06-08-2023,Standard Class,CS-12460,Chuck Sachs,Consumer,United States,New York City,New York,10009,East,OFF-BI-10001524,Office Supplies,Binders,Gbc Premium Transparent Covers With Diagonal Lined Pattern,83.92,Low,5,0.2,29.37,Profit
2464,CA-2017-148691,07-05-2023,07-08-2023,Standard Class,CS-12460,Chuck Sachs,Consumer,United States,New York City,New York,10009,East,OFF-BI-10001553,Office Supplies,Binders,Spinevue Locking Slant-D Ring Binders By Cardinal,14.62,Low,2,0.2,5.12,Profit
2465,CA-2017-148691,08-05-2023,08-08-2023,Standard Class,CS-12460,Chuck Sachs,Consumer,United States,New York City,New York,10009,East,TEC-PH-10000576,Technology,Phones,At&T 1080 Corded Phone,136.99,Medium,1,0,36.99,Profit
2466,CA-2017-148691,09-05-2023,09-08-2023,Standard Class,CS-12460,Chuck Sachs,Consumer,United States,New York City,New York,10009,East,OFF-LA-10001317,Office Supplies,Labels,Avery 520,3.15,Low,1,0,1.51,Profit
2467,CA-2017-128755,10-05-2023,10-08-2023,Standard Class,MK-18160,Mike Kennedy,Consumer,United States,Newport News,Virginia,23602,South,OFF-PA-10000726,Office Supplies,Paper,"Black Print Carbonless Snap-Off Rapid Letter, 8 1/2"" X 7""",9.11,Low,1,0,4.1,Profit
2468,CA-2017-128755,11-05-2023,11-08-2023,Standard Class,MK-18160,Mike Kennedy,Consumer,United States,Newport News,Virginia,23602,South,OFF-ST-10003306,Office Supplies,Storage,Letter Size Cart,571.44,High,4,0,165.72,Profit
2469,CA-2017-128755,12-05-2023,12-08-2023,Standard Class,MK-18160,Mike Kennedy,Consumer,United States,Newport News,Virginia,23602,South,OFF-PA-10004983,Office Supplies,Paper,Xerox 23,32.4,Low,5,0,15.55,Profit
2470,CA-2017-128755,13-05-2023,13-08-2023,Standard Class,MK-18160,Mike Kennedy,Consumer,United States,Newport News,Virginia,23602,South,OFF-ST-10001291,Office Supplies,Storage,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",16.91,Low,1,0,4.57,Profit
2471,US-2016-135923,14-05-2023,14-08-2023,Standard Class,CM-11935,Carlos Meador,Consumer,United States,Fayetteville,North Carolina,28314,South,FUR-FU-10002107,Furniture,Furnishings,Eldon Pizzaz Desk Accessories,14.27,Low,8,0.2,4.28,Profit
2472,US-2016-135923,15-05-2023,15-08-2023,Standard Class,CM-11935,Carlos Meador,Consumer,United States,Fayetteville,North Carolina,28314,South,FUR-BO-10002213,Furniture,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish",451.14,Medium,4,0.2,-67.67,Loss
2473,US-2016-135923,16-05-2023,16-08-2023,Standard Class,CM-11935,Carlos Meador,Consumer,United States,Fayetteville,North Carolina,28314,South,OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,64.86,Low,4,0.2,6.49,Profit
2474,CA-2016-114972,17-05-2023,17-08-2023,First Class,PF-19225,Phillip Flathmann,Consumer,United States,Los Angeles,California,90032,West,FUR-CH-10001190,Furniture,Chairs,Global Deluxe High-Back Office Chair In Storm,217.58,Medium,2,0.2,-29.92,Loss
2475,CA-2016-114972,18-05-2023,18-08-2023,First Class,PF-19225,Phillip Flathmann,Consumer,United States,Los Angeles,California,90032,West,TEC-AC-10000682,Technology,Accessories,Kensington K72356Us Mouse-In-A-Box Usb Desktop Mouse,82.95,Low,5,0,29.03,Profit
2476,CA-2016-114972,19-05-2023,19-08-2023,First Class,PF-19225,Phillip Flathmann,Consumer,United States,Los Angeles,California,90032,West,OFF-LA-10004545,Office Supplies,Labels,Avery 50,87.71,Low,7,0,41.22,Profit
2477,CA-2016-114972,20-05-2023,20-08-2023,First Class,PF-19225,Phillip Flathmann,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10003057,Office Supplies,Appliances,Honeywell Enviracaire Portable Hepa Air Cleaner For 16' X 20' Room,"1,101.48",Very High,4,0,429.58,Profit
2478,CA-2017-102750,21-05-2023,21-08-2023,Second Class,GM-14695,Greg Maxwell,Corporate,United States,Los Angeles,California,90036,West,FUR-TA-10000198,Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,"1,322.35",Very High,3,0.2,-99.18,Loss
